dia_busqueda,origen,destino,hora_salida,hora_llegada,duracion,num_vuelo,aerolinea,cod_aerolinea,precio
2019-04-15,Barcelona,London Gatwick,2019-08-12T10:50:00,2019-08-12T12:10:00,140,7836,Vueling Airlines,VY,119.64
2019-04-15,Barcelona,London Gatwick,2019-08-12T17:25:00,2019-08-12T18:45:00,140,8070,Vueling Airlines,VY,118.94
2019-04-15,Barcelona,London Luton,2019-08-12T21:40:00,2019-08-12T23:00:00,140,2268,easyJet,EZY,158.53
2019-04-15,Barcelona,London Heathrow,2019-08-12T14:50:00,2019-08-12T16:10:00,140,475,British Airways,BA,171.98
2019-04-15,Barcelona,London Gatwick,2019-08-12T19:00:00,2019-08-12T20:20:00,140,5118,Vueling Airlines,VY,109.32
2019-04-15,Barcelona,London Gatwick,2019-08-12T07:05:00,2019-08-12T08:25:00,140,7834,Vueling Airlines,VY,103.36
2019-04-15,Barcelona,London Gatwick,2019-08-12T07:10:00,2019-08-12T08:35:00,145,8570,easyJet,EZY,122.0
2019-04-15,Barcelona,London Gatwick,2019-08-12T12:35:00,2019-08-12T13:55:00,140,8072,Vueling Airlines,VY,116.09
2019-04-15,Barcelona,London Gatwick,2019-08-12T19:40:00,2019-08-12T21:00:00,140,8074,Vueling Airlines,VY,116.09
2019-04-15,Barcelona,London Gatwick,2019-08-12T18:00:00,2019-08-12T19:25:00,145,8580,easyJet,EZY,118.0
2019-04-15,Barcelona,London Gatwick,2019-08-12T20:30:00,2019-08-12T21:55:00,145,8578,easyJet,EZY,105.0
2019-04-15,Barcelona,London Heathrow,2019-08-12T20:35:00,2019-08-12T21:50:00,135,7487,British Airways,BA,143.87
2019-04-15,Barcelona,London Heathrow,2019-08-12T13:35:00,2019-08-12T14:55:00,140,7485,British Airways,BA,208.39
2019-04-15,Barcelona,London Luton,2019-08-12T16:35:00,2019-08-12T18:00:00,145,2266,easyJet,EZY,131.0
2019-04-15,Barcelona,London Gatwick,2019-08-12T19:40:00,2019-08-12T21:00:00,140,5552,Vueling Airlines,VY,108.63
2019-04-15,Barcelona,London Heathrow,2019-08-12T10:10:00,2019-08-12T11:35:00,145,7475,British Airways,BA,176.01
2019-04-15,Barcelona,London Heathrow,2019-08-12T20:35:00,2019-08-12T21:50:00,135,487,British Airways,BA,140.05
2019-04-15,Barcelona,London Gatwick,2019-08-12T15:20:00,2019-08-12T16:50:00,150,8574,easyJet,EZY,141.0
2019-04-15,Barcelona,London Gatwick,2019-08-12T12:20:00,2019-08-12T13:50:00,150,8576,easyJet,EZY,141.0
2019-04-15,Barcelona,London Gatwick,2019-08-12T17:25:00,2019-08-12T18:45:00,140,5521,Vueling Airlines,VY,116.59
2019-04-15,Barcelona,London Heathrow,2019-08-12T11:40:00,2019-08-12T13:05:00,145,479,British Airways,BA,171.98
2019-04-15,Barcelona,London Stansted,2019-08-12T06:20:00,2019-08-12T07:50:00,150,9811,Ryanair,FR,44.87
2019-04-15,Barcelona,London Stansted,2019-08-12T18:40:00,2019-08-12T20:10:00,150,9815,Ryanair,FR,66.87
2019-04-15,Barcelona,London Gatwick,2019-08-12T11:15:00,2019-08-12T12:45:00,150,8572,easyJet,EZY,151.0
2019-04-15,Barcelona,London Gatwick,2019-08-12T17:25:00,2019-08-12T18:40:00,135,5502,Norwegian Air International,D8,112.9
2019-04-15,Barcelona,London Heathrow,2019-08-12T07:10:00,2019-08-12T08:35:00,145,7478,British Airways,BA,143.87
2019-04-15,Barcelona,London Gatwick,2019-08-12T07:05:00,2019-08-12T08:25:00,140,8079,Vueling Airlines,VY,118.94
2019-04-15,Barcelona,London Gatwick,2019-08-12T17:25:00,2019-08-12T18:45:00,140,7824,Vueling Airlines,VY,103.36
2019-04-15,Barcelona,London Gatwick,2019-08-19T15:20:00,2019-08-19T16:50:00,150,8574,easyJet,EZY,145.3
2019-04-15,Barcelona,London Stansted,2019-08-19T10:50:00,2019-08-19T12:20:00,150,9045,Ryanair,FR,65.27
2019-04-15,Barcelona,London Heathrow,2019-08-19T20:35:00,2019-08-19T21:50:00,135,487,British Airways,BA,139.81
