dia_busqueda,origen,destino,hora_salida,hora_llegada,duracion,num_vuelo,aerolinea,cod_aerolinea,precio
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T15:15:00,2019-09-11T17:10:00,115,2269,Air France,AF,179.56
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-18T15:15:00,2019-09-18T17:10:00,115,2269,Air France,AF,189.6
2019-04-03,Barcelona,Paris Orly,2019-09-18T11:05:00,2019-09-18T12:55:00,110,5270,Vueling Airlines,VY,54.3
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-18T16:20:00,2019-09-18T18:25:00,125,8244,Vueling Airlines,VY,59.78
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-18T16:20:00,2019-09-18T18:25:00,125,5294,Vueling Airlines,VY,61.07
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-18T20:10:00,2019-09-18T22:15:00,125,8248,Vueling Airlines,VY,43.55
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-18T20:10:00,2019-09-18T22:15:00,125,5116,Vueling Airlines,VY,44.06
2019-04-03,Barcelona,Paris Orly,2019-09-18T11:05:00,2019-09-18T12:55:00,110,8016,Vueling Airlines,VY,52.95
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-18T18:55:00,2019-09-18T21:00:00,125,5866,Vueling Airlines,VY,44.06
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-18T10:05:00,2019-09-18T12:05:00,120,1149,Air France,AF,132.38
2019-04-03,Barcelona,Paris Orly,2019-09-18T06:00:00,2019-09-18T07:50:00,110,5266,Vueling Airlines,VY,54.3
2019-04-03,Barcelona,Paris Orly,2019-09-18T09:35:00,2019-09-18T11:25:00,110,8008,Vueling Airlines,VY,43.55
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-18T18:05:00,2019-09-18T20:00:00,115,2246,Air France,AF,189.6
2019-04-03,Barcelona,Paris Orly,2019-09-18T07:00:00,2019-09-18T08:50:00,110,5268,Vueling Airlines,VY,54.3
2019-04-03,Barcelona,Paris Orly,2019-09-18T08:20:00,2019-09-18T10:10:00,110,5754,Vueling Airlines,VY,54.3
2019-04-03,Barcelona,Paris Orly,2019-09-18T14:05:00,2019-09-18T15:55:00,110,8018,Vueling Airlines,VY,43.55
2019-04-03,Barcelona,Paris Orly,2019-09-18T14:05:00,2019-09-18T15:55:00,110,5088,Vueling Airlines,VY,44.06
2019-04-03,Barcelona,Paris Orly,2019-09-18T06:00:00,2019-09-18T07:50:00,110,8036,Vueling Airlines,VY,52.95
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-18T18:55:00,2019-09-18T21:00:00,125,8226,Vueling Airlines,VY,43.55
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-18T18:05:00,2019-09-18T20:05:00,120,3922,easyJet,EZY,54.66
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-18T13:00:00,2019-09-18T15:05:00,125,3920,easyJet,EZY,54.66
2019-04-03,Barcelona,Paris Orly,2019-09-18T12:45:00,2019-09-18T14:35:00,110,8030,Vueling Airlines,VY,43.55
2019-04-03,Barcelona,Paris Beauvais,2019-09-18T06:30:00,2019-09-18T08:30:00,120,6374,Ryanair,FR,28.74
2019-04-03,Barcelona,Paris Orly,2019-09-18T09:35:00,2019-09-18T11:25:00,110,5038,Vueling Airlines,VY,44.06
2019-04-03,Barcelona,Paris Beauvais,2019-09-18T19:15:00,2019-09-18T21:15:00,120,6355,Ryanair,FR,23.52
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-18T20:25:00,2019-09-18T22:20:00,115,1249,Air France,AF,122.99
2019-04-03,Barcelona,Paris Orly,2019-09-18T19:20:00,2019-09-18T21:10:00,110,5276,Vueling Airlines,VY,54.3
2019-04-03,Barcelona,Paris Orly,2019-09-18T19:20:00,2019-09-18T21:10:00,110,8022,Vueling Airlines,VY,52.95
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-18T12:20:00,2019-09-18T14:15:00,115,2207,Air France,AF,144.33
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-18T19:10:00,2019-09-18T21:05:00,115,1749,Air France,AF,160.57
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-18T10:05:00,2019-09-18T12:05:00,120,2253,Air France,AF,189.6
2019-04-03,Barcelona,Paris Orly,2019-09-18T20:40:00,2019-09-18T22:35:00,115,3239,Transavia France,TO,29.04
2019-04-03,Barcelona,Paris Orly,2019-09-18T12:45:00,2019-09-18T14:35:00,110,5280,Vueling Airlines,VY,44.06
2019-04-03,Barcelona,Paris Orly,2019-09-18T20:20:00,2019-09-18T22:10:00,110,5278,Vueling Airlines,VY,44.06
2019-04-03,Barcelona,Paris Orly,2019-09-18T17:35:00,2019-09-18T19:25:00,110,5274,Vueling Airlines,VY,54.3
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-18T07:50:00,2019-09-18T09:55:00,125,5292,Vueling Airlines,VY,54.3
2019-04-03,Barcelona,Paris Orly,2019-09-18T08:20:00,2019-09-18T10:10:00,110,8024,Vueling Airlines,VY,52.95
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-18T15:15:00,2019-09-18T17:10:00,115,1649,Air France,AF,141.78
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-18T18:05:00,2019-09-18T20:00:00,115,1549,Air France,AF,128.96
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-18T20:25:00,2019-09-18T22:20:00,115,2245,Air France,AF,189.6
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-18T12:20:00,2019-09-18T14:15:00,115,1349,Air France,AF,97.37
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-18T06:15:00,2019-09-18T08:15:00,120,1449,Air France,AF,128.96
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-18T06:15:00,2019-09-18T08:15:00,120,2208,Air France,AF,189.6
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-18T09:55:00,2019-09-18T11:55:00,120,3916,easyJet,EZY,52.96
2019-04-03,Barcelona,Paris Orly,2019-09-18T20:20:00,2019-09-18T22:10:00,110,8028,Vueling Airlines,VY,43.55
2019-04-03,Barcelona,Paris Orly,2019-09-18T17:35:00,2019-09-18T19:25:00,110,8020,Vueling Airlines,VY,52.95
